år,uge,lottotal,tillægstal,6rigtige,5+rigtige,5rigtige,4rigtige,3rigtige
2008,30,1 11 14 18 23 46,2 27,11851587,342811,3090,108,39
2008,31,7 11 16 20 39 46,14 35,3492443,238888,3738,110,40
2008,32,9 10 19 31 40 47,1 29,3522311,122809,2572,111,41
2008,33,2 16 25 30 41 42,37 43,7000000,118389,3872,118,43
2008,34,7 22 35 38 41 48,24 42,3498206,0,4212,148,44
2008,35,8 14 15 35 44 47,39 40,1733503,116008,3411,122,42
2008,36,17 23 27 31 43 48,34 39,1760816,0,5110,144,42
2008,37,8 12 18 23 34 45,10 33,3473128,234910,3025,112,40
2008,38,8 24 26 32 38 39,10 23,1755895,115006,3762,118,42
2008,39,7 16 19 41 46 47,6 34,3740851,49406,2610,114,42
2008,40,1 2 20 22 41 42,25 28,3818379,153031,3108,114,41
2008,41,2 4 25 38 42 48,23 24,0,50712,4143,131,44
2008,42,5 8 9 13 30 47,11 14,13452763,62312,4074,102,37
2008,43,6 11 14 19 26 30,15 42,4175880,79264,2235,90,36
2008,44,10 11 14 20 27 46,5 43,0,57566,3018,105,37
2008,45,9 12 28 35 36 42,19 24,0,94439,3642,115,41
2008,46,19 21 25 32 40 42,38 41,11684160,149838,3719,115,41
2008,47,9 21 26 29 33 47,43 48,3574759,252165,2640,95,36
2008,48,5 10 18 21 26 31,38 43,4355230,120426,2235,96,36
2008,49,9 23 30 36 43 48,25 37,3574684,0,5649,152,45
2008,50,1 18 24 33 44 47,2 16,11882897,267711,3326,119,43
2008,51,1 18 24 33 44 47,2 16,11882897,267711,3326,119,43
2008,52,6 8 13 25 27 32,9 39,3500000,64295,2653,101,37
2008,1,3 9 16 22 30 37,31 34,4983166,128595,3389,104,38
2009,2,4 17 18 28 40 42,15 29,0,226950,3031,113,40
2009,3,7 8 13 20 27 36,4 26,0,133638,2921,94,36
2009,4,9 10 16 18 27 45,26 38,11560205,148437,3242,97,37
2009,5,2 8 11 23 37 47,15 43,3542107,76705,2963,109,40
2009,6,4 11 27 29 31 33,17 20,3538012,95899,1937,95,36
2009,7,2 15 16 27 31 43,20 24,0,62228,2857,101,38
2009,8,5 12 18 20 34 41,17 24,2537975,37840,2046,102,39
2009,9,6 13 14 27 34 42,36 43,4589594,0,3596,124,38
2009,10,18 28 38 41 42 44,15 33,3746557,0,4612,135,43
2009,11,2 9 14 16 30 41,17 26,3699634,226361,2631,89,36
2009,12,15 16 18 37 41 42,8 36,7000000,0,3944,141,43
2009,13,8 14 20 32 41 43,27 46,7000000,256976,3144,102,41
2009,14,1 9 16 24 37 38,6 8,3919027,56537,2873,114,41
2009,15,9 10 29 30 34 35,37 45,2451957,115327,3446,106,39
2009,16,10 17 37 40 43 46,7 16,1905698,216298,2972,120,42
2009,17,2 8 13 39 43 47,25 31,4804413,100775,2517,105,40
2009,18,1 9 15 16 33 48,14 23,4646490,65580,1870,90,36
2009,19,1 6 22 30 37 43,17 42,0,290744,2684,103,40
2009,20,3 6 9 28 40 48,23 43,0,186415,2466,96,37
2009,21,10 11 16 18 36 45,2 39,24039419,127701,2578,102,39
2009,22,11 19 35 36 37 42,1 20,0,65691,2824,117,43
2009,23,2 11 19 32 43 44,4 40,7861001,56908,2166,105,40
2009,24,4 13 42 43 47 48,30 36,3734549,50210,3003,108,42
2009,25,5 15 16 26 42 47,13 33,6159495,0,3879,125,40
2009,26,5 12 18 23 42 43,1 31,5308077,45814,2869,110,40
2009,27,2 20 23 30 36 45,16 32,1711773,31313,2225,110,41
2009,28,11 14 20 28 29 42,21 31,1712798,185515,1903,98,37
2009,29,1 9 26 34 38 44,23 43,3421818,60397,2148,101,39
2009,30,9 12 16 29 33 38,4 18,3471109,0,3363,123,39
2009,31,6 14 16 17 43 45,11 32,5290883,185366,3043,114,41
2009,32,1 7 17 36 37 44,4 38,0,63379,2514,108,41
2009,33,28 34 35 37 39 45,13 20,11278909,68490,3022,106,41
2009,34,2 4 6 8 38 47,33 36,4100794,100596,1749,90,37
2009,35,6 11 18 28 39 43,5 16,0,68264,2996,103,39
2009,36,6 11 14 40 41 44,39 47,2284782,101773,1931,102,39
2009,37,3 23 31 32 41 48,2 11,27265458,70257,2065,107,40
2009,38,3 9 12 20 31 41,10 39,3563441,0,3333,120,38
2009,39,10 27 28 38 39 42,4 9,0,92771,4151,109,39
2009,40,3 4 9 16 34 48,7 17,11260187,59080,2345,94,36
2009,41,2 13 19 28 29 40,18 39,2894350,103917,2856,94,37
2009,42,9 15 21 23 38 40,8 39,0,64622,2336,96,36
2009,43,17 19 20 22 45 46,4 31,24177689,42033,2575,105,39
2009,44,3 11 22 24 44 48,1 2,7000000,47459,2721,100,39
2009,45,2 4 9 14 21 43,13 34,0,94845,1862,86,35
2009,46,7 8 19 30 41 43,14 16,3655727,120001,2696,108,40
2009,47,14 15 16 22 31 36,21 23,1750584,62942,2404,100,38
2009,48,2 6 19 34 47 48,5 39,5268067,37535,2262,108,40
2009,49,12 18 22 29 31 34,1 6,1741852,0,4397,124,40
2009,50,8 13 16 25 31 41,39 42,1759097,48481,2966,103,39
2009,51,7 33 34 38 41 43,10 24,0,94817,2209,108,40
2009,52,18 25 27 29 44 46,8 19,0,53392,2571,110,40
2009,53,15 18 22 26 32 43,19 27,14039790,58540,2237,104,39
2010,1,20 23 24 39 45 46,5 10,7000000,217343,2160,115,42
2010,2,10 19 36 40 45 46,28 43,2280460,91480,2606,108,41
2010,3,10 24 33 37 38 41,9 29,1577205,57435,2973,109,41
2010,4,13 15 17 26 29 39,36 48,0,297560,1919,91,36
2010,5,8 20 21 40 41 44,29 38,0,66510,2342,102,39
2010,6,1 2 7 23 29 42,35 40,11633867,103656,2542,101,38
2010,7,9 21 23 35 38 45,4 44,0,67320,2483,97,38
2010,8,2 4 8 15 25 26,19 30,0,47997,1806,88,36
2010,9,2 8 34 39 41 46,17 25,24822378,121012,2239,100,38
2010,10,9 22 33 36 37 38,10 34,7505275,329739,2445,103,39
2010,11,5 6 36 37 38 43,28 41,2447124,70194,2330,113,41
2010,12,10 16 27 35 41 47,13 21,0,43729,2415,100,38
2010,13,2 5 12 32 39 45,14 33,6146380,96918,2414,105,39
2010,14,3 4 13 33 40 43,34 35,28909595,98852,2126,96,38
2010,15,9 10 13 19 24 26,1 8,7000000,35831,1377,83,34
2010,16,6 11 22 30 38 43,16 26,3558375,237896,2507,105,40
2010,17,5 24 28 41 47 48,7 21,0,74349,3408,115,41
2010,18,3 5 20 38 45 46,13 18,8561674,53246,2528,110,41
2010,19,6 10 31 34 42 43,27 30,4985096,115245,2105,112,42
2010,20,3 5 15 23 30 46,13 36,3825916,0,3354,122,38
2010,21,3 8 10 23 35 41,26 40,3831209,100091,2412,98,36
2010,22,5 6 17 19 43 45,13 47,7000000,128155,2470,106,39
2010,23,28 31 39 40 43 47,10 12,7000000,54606,1965,108,41
2010,24,5 6 19 27 40 47,7 39,3989314,48397,3071,107,38
2010,25,21 24 36 38 45 48,12 37,0,78500,2747,108,41
2010,26,1 9 21 29 30 43,27 28,4493792,65958,2163,99,38
2010,27,6 8 26 30 33 47,36 45,36296046,69443,2086,107,39
2010,28,2 3 4 23 35 43,15 25,0,102262,2421,103,37
2010,29,5 6 19 27 40 47,7 39,3989314,48397,3071,107,38
2010,30,5 8 24 26 29 44,43 46,0,44659,2956,99,38
2010,31,17 25 33 41 43 44,8 24,5972015,64694,2626,103,40
2010,32,9 17 19 31 36 45,14 48,3972821,113081,3237,103,39
2010,33,6 11 24 34 36 41,8 23,3941627,54420,2407,109,41
2010,34,8 31 37 39 43 44,19 42,4000411,216452,3099,118,44
2010,35,2 13 15 24 26 46,14 31,9397148,186884,5852,196,76
2010,36,3 10 28 30 39 43,14 44,2016155,57994,2371,107,39
2010,37,3 30 31 32 33 34,16 48,615230,95658,1501,100,41
2010,38,10 12 19 23 36 42,8 20,1419599,78241,2264,103,40
2010,39,3 22 25 27 36 39,1 9,4669495,87388,2147,99,38
2010,40,18 24 26 31 37 40,30 43,2376161,49887,2453,110,41
2010,41,2 10 11 31 32 44,16 30,4449428,350231,2364,103,39
2010,42,4 10 17 40 45 47,34 43,8236986,63715,2656,100,39
2010,43,17 22 24 32 47 48,11 37,0,54915,3514,110,40
2010,44,7 12 13 17 21 38,20 47,0,176798,4304,182,72
2010,45,4 15 20 23 24 27,6 11,0,147162,2139,89,35
2010,46,1 11 25 28 32 45,13 20,21169269,51455,2341,103,39
2010,47,3 16 18 33 37 45,6 34,0,108893,2490,112,41
2010,48,10 14 21 29 31 48,18 34,4200636,53866,3234,100,38
2010,49,4 12 20 26 30 40,10 11,21915083,28515,2331,97,38
2010,50,20 26 33 34 43 45,10 27,5025275,102505,2937,108,41
2010,51,2 3 14 27 30 48,19 42,1292663,52106,2807,101,37
2010,52,3 5 10 16 33 34,1 47,1351015,53763,1895,92,36
2011,1,6 10 11 21 44 47,14 41,3681153,35017,2442,99,38
2011,2,2 12 31 32 41 46,29 30,1874563,41482,2588,105,41
2011,3,1 4 25 32 33 34,5 27,1880664,101750,3259,107,40
2011,4,4 18 25 29 39 47,31 44,1868460,50725,3034,111,40
2011,5,8 18 28 32 42 44,23 48,8500476,53630,2657,105,40
2011,6,1 14 18 20 25 41,3 39,3712973,112758,2577,108,40
2011,7,7 11 25 27 37 47,10 32,4572399,99314,1894,90,39
2011,8,13 18 25 30 37 40,11 43,3661555,65031,2196,106,41
2011,9,3 4 11 14 18 31,23 33,1832635,41019,1851,85,35
2011,10,3 7 8 31 35 37,18 33,0,101577,2910,109,39
2011,11,5 22 25 36 37 47,27 44,7330752,143483,2650,108,41
2011,12,10 12 15 40 42 45,13 25,9660241,69149,2224,106,40
2011,13,22 30 31 34 41 48,11 37,5698963,98398,2331,112,41
2011,14,6 8 13 18 27 37,16 34,7000000,101658,1812,92,37
2011,15,3 5 11 19 30 31,9 13,7319165,48541,2051,83,34
2011,16,4 6 22 24 29 47,27 37,3699429,38911,2975,102,38
2011,17,3 15 27 30 44 46,38 42,0,89188,2559,104,39
2011,18,11 17 23 24 27 48,39 44,0,120436,2170,97,37
2011,19,9 31 33 37 46 48,13 16,10156852,53436,3208,111,41
2011,20,15 34 36 43 44 47,2 40,1167774,0,4004,143,44
2011,21,1 5 9 21 31 32,2 30,0,94058,1901,86,35
2011,22,12 14 19 41 42 44,22 25,0,120779,2545,105,41
2011,23,11 17 18 25 35 44,16 40,7396587,38491,2488,101,39
2011,24,9 28 34 38 42 44,10 18,0,106348,2114,107,40
2011,25,1 3 14 18 21 48,11 25,2646566,34053,2386,97,37
2011,26,6 28 32 40 42 48,7 27,0,37384,2195,104,40
2011,27,2 6 8 18 37 48,14 25,4333145,94185,2145,104,39
2011,28,3 5 7 12 15 18,44 45,1047941,47110,1207,73,33
2011,29,2 3 4 21 30 32,12 45,4091931,121187,2155,95,36
2011,30,9 13 14 33 38 41,18 24,4886481,77894,2444,100,38
2011,31,6 13 18 34 35 45,33 38,4394234,38133,2386,106,40
2011,32,9 22 23 33 42 47,27 36,4604705,117192,2470,96,38
2011,33,1 9 38 41 43 48,20 21,4863351,123930,2412,104,40
2011,34,2 8 24 28 33 35,14 43,7000000,52972,2902,98,37
2011,35,2 16 19 23 31 32,5 7,7000000,71203,2505,99,38
2011,36,10 25 30 33 44 46,19 41,5800703,46074,2409,107,40
2011,37,2 9 16 17 38 42,15 35,2011512,93793,2530,101,38
